,city,males,females,lat,lng,state,name
0,Abbeville,3,0,29.9746502,-92.1342921,LA,Louisiana
1,Algiers,2,0,29.9510514,-90.08108878,LA,Louisiana
2,Ascension Parish,1,0,30.20465845,-90.88963011,LA,Louisiana
3,Baker,1,0,30.5882429,-91.168163,LA,Louisiana
4,Baton Rouge,46,8,30.4507462,-91.154551,LA,Louisiana
5,Bayou Vista,1,1,30.2813059,-89.8175651,LA,Louisiana
6,Bossier City,3,2,32.5064115,-93.65183813,LA,Louisiana
7,Bossier City ,1,0,32.5064115,-93.65183813,LA,Louisiana
8,Caddo Parish,1,0,32.60755,-93.90238918,LA,Louisiana
9,Calcasieu Parish,1,0,30.26537195,-93.36916972,LA,Louisiana
10,Carencro,2,0,30.317144,-92.0490096,LA,Louisiana
11,Chalmette,1,0,29.9427037,-89.9634017,LA,Louisiana
12,Charenton,2,0,29.8815936,-91.5251127,LA,Louisiana
13,Covington,4,1,30.4754702,-90.1009108,LA,Louisiana
14,Creston,1,0,31.9759941,-93.049884,LA,Louisiana
15,DeRidder,1,0,30.8463055,-93.2890528,LA,Louisiana
16,Denham Springs,2,0,30.4868564,-90.9562125,LA,Louisiana
17,Donaldsonville,2,0,30.1010324,-90.9928774,LA,Louisiana
18,Duson,1,0,30.2357577,-92.1854035,LA,Louisiana
19,East Baton Rouge,1,0,30.4143987,-91.1774318,LA,Louisiana
20,Ebarb,1,0,31.635777,-93.648603,LA,Louisiana
21,Edgard,1,0,30.0432578,-90.5600869,LA,Louisiana
22,Ferriday,1,0,31.6301664,-91.5545649,LA,Louisiana
23,Garyville,1,0,30.056035,-90.6192554,LA,Louisiana
24,Geismar,1,0,30.2043633,-91.0226013,LA,Louisiana
25,Gentilly,4,0,30.0156248,-90.0518356,LA,Louisiana
26,Gonzales,1,0,30.2385294,-90.9200987,LA,Louisiana
27,Harahan,1,0,29.9404826,-90.2031313,LA,Louisiana
28,Harvey,14,0,29.9035387,-90.0772944,LA,Louisiana
29,Houma,9,1,29.5957696,-90.7195348,LA,Louisiana
30,Jamestown,1,0,32.3440452,-93.2118341,LA,Louisiana
31,Jeanerette,1,0,29.9110378,-91.6634484,LA,Louisiana
32,Jena,1,0,31.6832271,-92.1337448,LA,Louisiana
33,Kenner,7,0,29.9940924,-90.2417434,LA,Louisiana
34,Krotz Springs,1,0,30.5368592,-91.7528931,LA,Louisiana
35,LaFayette,3,1,30.2240897,-92.0198427,LA,Louisiana
36,LaPlace,5,1,30.0665907,-90.4800848,LA,Louisiana
37,Lafayette Parish,1,1,30.208284,-92.11207429,LA,Louisiana
38,Lafourche Parish,1,0,29.50317955,-90.36353872,LA,Louisiana
39,Lake Charles,5,0,30.2265949,-93.2173759,LA,Louisiana
40,Larose,1,1,29.572438,-90.3817483,LA,Louisiana
41,Livingston Parish,1,0,30.412795,-90.74105907,LA,Louisiana
42,Loranger,1,1,30.6357439,-90.3981441,LA,Louisiana
43,Luling,1,0,29.9321498,-90.3664695,LA,Louisiana
44,Mansfield,2,1,32.0376629,-93.7001819,LA,Louisiana
45,Marrero,9,1,29.8993723,-90.1003506,LA,Louisiana
46,Metairie,6,3,30.00135175,-90.17673135,LA,Louisiana
47,Monroe,5,0,32.5093109,-92.1193012,LA,Louisiana
48,Morgan City,1,0,29.6993748,-91.20677,LA,Louisiana
49,Nairn,1,0,29.4279955,-89.6108947,LA,Louisiana
50,New Orleans,146,17,29.9499323,-90.0701156,LA,Louisiana
51,New Orleans ,1,0,29.9499323,-90.0701156,LA,Louisiana
52,Port Allen,2,0,30.4521351,-91.2101081,LA,Louisiana
53,Prairieville,2,0,30.3029721,-90.9720451,LA,Louisiana
54,Ragley,1,0,30.512699,-93.2323813,LA,Louisiana
55,Reserve,5,0,30.0538131,-90.5517534,LA,Louisiana
56,River Ridge,3,0,29.9602043,-90.2156316,LA,Louisiana
57,Ruston,1,0,32.5269104,-92.6463257,LA,Louisiana
58,Shreveport,13,0,32.5221828,-93.7651944,LA,Louisiana
59,Slidell,6,0,30.2751945,-89.7811745,LA,Louisiana
60,Sorrento,1,0,30.1843642,-90.8592632,LA,Louisiana
61,St. Bernard,1,0,29.8779823,-89.5969002,LA,Louisiana
62,St. Joseph,2,0,31.9184926,-91.2334451,LA,Louisiana
63,St. Rose,3,0,29.9468716,-90.3231349,LA,Louisiana
64,St. Tammany Parish,1,0,30.4256963,-89.96205484,LA,Louisiana
65,Terrebonne,1,0,29.4257758,-90.5674867,LA,Louisiana
66,Terrytown,1,0,29.910205,-90.0325709,LA,Louisiana
67,Thibodaux,2,0,29.7957633,-90.822871,LA,Louisiana
68,Varnado,2,0,30.8937963,-89.8295203,LA,Louisiana
69,Ville Platte,1,0,30.6879749,-92.2715157,LA,Louisiana
70,Violet,1,0,29.8957605,-89.8978439,LA,Louisiana
71,Waggaman,1,0,29.9185388,-90.2109093,LA,Louisiana
72,West Monroe,1,1,32.5184775,-92.1476353,LA,Louisiana
73,Winnfield,1,0,31.9254413,-92.6395932,LA,Louisiana
74,Winnsboro,1,0,32.1632079,-91.720681,LA,Louisiana
75,Bridge City,0,1,29.9332605,-90.1700748,LA,Louisiana
76,Franklinton,0,1,30.8471283,-90.153141,LA,Louisiana
77,Longville,0,1,30.6051979,-93.2318269,LA,Louisiana
78,Many,0,1,31.5687848,-93.4840645,LA,Louisiana
79,New Iberia,0,1,30.0035365,-91.8187285,LA,Louisiana
80,Ponchatoula,0,1,30.4388041,-90.4414762,LA,Louisiana
81,Slaughter,0,1,30.7174063,-91.1414958,LA,Louisiana
82,St Joseph,0,1,31.9184926,-91.2334451,LA,Louisiana
83,Abbeville County,1,0,34.2492945,-82.4732577,SC,South Carolina
84,Anderson County,1,1,34.5153635,-82.65271264,SC,South Carolina
85,Beaufort,3,0,32.3850708,-80.6923169,SC,South Carolina
86,Beech Island,1,0,33.4273614,-81.8909473,SC,South Carolina
87,Belton,2,1,34.5228881,-82.4942948,SC,South Carolina
88,Bennettsville,3,0,34.6173803,-79.6847814,SC,South Carolina
89,Bishopville,1,0,34.2182107,-80.2484056,SC,South Carolina
90,Blackville,1,0,33.3579297,-81.2706606,SC,South Carolina
91,Burton,1,0,32.4357843,-80.7242883,SC,South Carolina
92,Charleston County,1,2,32.97595765,-79.56081424,SC,South Carolina
93,Chester County,1,0,34.6830445,-81.16567344,SC,South Carolina
94,Colleton County,2,0,32.7863418,-80.65355233,SC,South Carolina
95,Columbia,26,8,34.0872775,-80.98114974,SC,South Carolina
96,Conway ,1,0,33.8360035,-79.0478143,SC,South Carolina
97,Cottageville,1,0,32.936838,-80.480935,SC,South Carolina
98,Dacusville,1,1,34.9353949,-82.5587384,SC,South Carolina
99,Darlington,1,0,34.2998762,-79.8761741,SC,South Carolina
100,Donalds,2,0,34.3770591,-82.3473448,SC,South Carolina
101,Dorchester County,1,1,33.07602025,-80.42732899,SC,South Carolina
102,Edgefield County,1,0,33.7543985,-81.94968105,SC,South Carolina
103,Florence,5,1,33.7846102,-79.4488454,SC,South Carolina
104,Fort Hill,2,0,34.407373,-80.6475769,SC,South Carolina
105,Fountain Inn,1,2,34.6890095,-82.1956679,SC,South Carolina
106,Friendship,1,0,34.4984463,-82.3809556,SC,South Carolina
107,Gaffney,2,1,35.0717945,-81.6498195,SC,South Carolina
108,Goose Creek,2,1,33.0126515,-80.03275952,SC,South Carolina
109,Graniteville,2,0,33.5637483,-81.8078887,SC,South Carolina
110,Greeleyville,1,0,33.5809988,-79.9889654,SC,South Carolina
111,Greenville,23,5,34.8512316,-82.3985105,SC,South Carolina
112,Greenville County,1,1,34.8500365,-82.34855144,SC,South Carolina
113,Greenwood County,6,3,34.182129,-82.07935191,SC,South Carolina
114,Hanahan,1,0,32.9138914,-80.0088359,SC,South Carolina
115,Hilton Head,1,1,32.193817,-80.7381637,SC,South Carolina
116,Honea Path,1,0,34.4465018,-82.3915122,SC,South Carolina
117,Irmo,1,0,34.0859829,-81.1831513,SC,South Carolina
118,Jonesville,1,2,32.7362873,-80.8159402,SC,South Carolina
119,Kershaw,2,0,34.5518201,-80.5836836,SC,South Carolina
120,Kiawah Island,1,1,32.6082373,-80.0848166,SC,South Carolina
121,Latta,1,0,34.3371047,-79.4311616,SC,South Carolina
122,Lexington County,1,0,33.9250165,-81.28323149,SC,South Carolina
123,Loris,1,0,34.0562812,-78.8903044,SC,South Carolina
124,Moncks Corner,3,0,33.1960027,-80.0131374,SC,South Carolina
125,Mount Pleasant,1,0,32.831845,-79.88584158,SC,South Carolina
126,Mt. Pleasant,1,0,32.7940651,-79.8625851,SC,South Carolina
127,Myrtle Beach,1,0,33.6955167,-78.8817622,SC,South Carolina
128,North Charleston,10,1,32.939636,-80.09821022,SC,South Carolina
129,Orangeberg,1,0,33.4273582,-80.2807457,SC,South Carolina
130,Orangeburg,2,0,33.4273582,-80.2807457,SC,South Carolina
131,Pineville,5,1,33.4282228,-80.0292462,SC,South Carolina
132,Ravenel,1,0,32.7632321,-80.2500986,SC,South Carolina
133,Richland County,5,2,33.8071004,-80.6372094,SC,South Carolina
134,Ridgeland,1,0,32.4807435,-80.980386,SC,South Carolina
135,Ridgeville,1,0,33.095723,-80.3153738,SC,South Carolina
136,Rock Hill,4,1,34.9248667,-81.0250784,SC,South Carolina
137,Saluda,1,0,34.074864,-81.4841699,SC,South Carolina
138,Saluda County,1,1,34.0005725,-81.7492391,SC,South Carolina
139,Seneca,1,1,34.6865321,-82.9527288,SC,South Carolina
140,Socastee,1,1,33.683504,-78.9983676,SC,South Carolina
141,Spartanburg,4,0,34.9498007,-81.9320157,SC,South Carolina
142,Spartanburg County,1,0,34.888851,-81.98030471,SC,South Carolina
143,St George,2,1,33.1859958,-80.5756534,SC,South Carolina
144,Sumter,4,1,33.9679376,-79.9413592,SC,South Carolina
145,Turbeville,1,0,33.8907158,-80.0184063,SC,South Carolina
146,Walterboro,2,0,32.9051704,-80.6667688,SC,South Carolina
147,Wellford,1,0,34.9509521,-82.1059416,SC,South Carolina
148,West Columbia,1,1,33.984518,-81.09820721,SC,South Carolina
149,Williamston,1,0,34.6184471,-82.4779053,SC,South Carolina
150,Woodruff,1,0,34.7395701,-82.0370466,SC,South Carolina
151,Andrews,0,1,33.451278,-79.5608971,SC,South Carolina
152,Hartsville,0,1,34.3740431,-80.0734005,SC,South Carolina
153,Hodges,0,1,34.2875885,-82.24793129,SC,South Carolina
154,Horry County,0,1,33.93569585,-78.97702634,SC,South Carolina
155,Iva,0,2,34.3064967,-82.663743,SC,South Carolina
156,Johns Island,0,1,32.7024009,-80.0481488,SC,South Carolina
157,Little River,0,1,33.8732279,-78.6141798,SC,South Carolina
158,Santee,0,1,33.4751634,-80.4864764,SC,South Carolina
159,St. George,0,1,33.1859958,-80.5756534,SC,South Carolina
160,Summerville,0,1,32.9960965,-80.20216331,SC,South Carolina
161,Taylors,0,1,34.9203946,-82.2962269,SC,South Carolina
162,Travelers Rest,0,1,34.9676167,-82.4434548,SC,South Carolina
163,Wagener,0,1,33.6523712,-81.3612142,SC,South Carolina
164,Aberdeen,5,0,45.4646985,-98.4864829,SD,South Dakota
165,Fort Thompson,1,0,44.068601,-99.4378846,SD,South Dakota
166,Huron,3,0,44.3633173,-98.2142572,SD,South Dakota
167,Lake Andes,1,0,43.1563822,-98.5414703,SD,South Dakota
168,Lead,2,0,44.3522065,-103.7651984,SD,South Dakota
169,Onida,1,0,44.7080379,-100.059845,SD,South Dakota
170,Pierre,1,0,44.3683156,-100.3509665,SD,South Dakota
171,Rapid City,2,0,44.0805434,-103.2310149,SD,South Dakota
172,Sioux Falls,2,0,43.5499749,-96.700327,SD,South Dakota
173,Vermillion,1,0,42.7794417,-96.9292104,SD,South Dakota
174,Wagner,1,0,43.0797156,-98.2931342,SD,South Dakota
175,Whitney,1,0,43.8366201,-103.1884552,SD,South Dakota
176,Mitchell,0,1,43.7092877,-98.0298399,SD,South Dakota
177,Abilene,1,0,32.4838865,-99.71564957,TX,Texas
178,Alamo,1,0,26.1822255,-98.11502875,TX,Texas
179,Alice,1,1,27.7596485,-98.07076189,TX,Texas
180,Alto,1,0,31.6504546,-95.0727175,TX,Texas
181,Alton,3,1,26.2773795,-98.28839275,TX,Texas
182,Alvin,2,0,29.28472515,-95.11255575,TX,Texas
183,Amarillo,8,0,35.2072185,-101.8338246,TX,Texas
184,Anahuac,1,0,29.7651595,-94.6781375,TX,Texas
185,Arlington,15,7,32.701843,-97.13997598,TX,Texas
186,Arp,1,0,32.2254332,-95.0577207,TX,Texas
187,Atascocita,1,0,29.9988306,-95.1765978,TX,Texas
188,Atascosa,1,0,28.7924803,-98.139629,TX,Texas
189,Austin,14,3,30.2718065,-97.80359592,TX,Texas
190,Azle,1,0,32.896898,-97.5495391,TX,Texas
191,Balch Springs,1,0,32.7194665,-96.61020688,TX,Texas
192,Bandera,1,0,29.7233825,-99.07396713,TX,Texas
193,Bandera County,1,0,29.7300155,-99.2095738,TX,Texas
194,Bardwell,2,1,32.2690354,-96.6961027,TX,Texas
195,Bastrop,2,0,30.0854964,-97.0851637,TX,Texas
196,Baytown,4,0,29.684649,-94.93093939,TX,Texas
197,Beaumont,6,2,30.0860459,-94.1018461,TX,Texas
198,Beeville,2,0,28.40995,-97.74800068,TX,Texas
199,Bellaire,2,0,29.7076452,-95.46006694,TX,Texas
200,Benbrook,1,0,32.696598,-97.445054,TX,Texas
201,Bexar County,4,1,29.4372179,-98.47251138,TX,Texas
202,Bon Wier,1,0,30.740222,-93.6422252,TX,Texas
203,Brenham,1,0,30.1590475,-96.39544971,TX,Texas
204,Brownfield,1,1,33.173755,-102.2692619,TX,Texas
205,Bryan,2,0,30.6743643,-96.3699632,TX,Texas
206,Burleson,1,0,30.4764878,-96.6353488,TX,Texas
207,Carrollton,2,2,32.9537349,-96.8902816,TX,Texas
208,Cedar Hill,3,1,32.5871635,-96.96211151,TX,Texas
209,Center,1,0,31.793327,-94.17756845,TX,Texas
210,Cibolo,1,0,29.561618,-98.2269553,TX,Texas
211,Cleburne,1,0,32.357629,-97.40859189,TX,Texas
212,Colleyville,1,0,32.8919275,-97.15550575,TX,Texas
213,Comal County,1,0,29.8180854,-98.2889578,TX,Texas
214,Conroe,4,0,30.393222,-95.64016638,TX,Texas
215,Copperas Cove,1,0,31.124062,-97.9030785,TX,Texas
216,Corpus Christi,7,1,27.823713,-97.41739794,TX,Texas
217,Corsicana,1,1,32.0756495,-96.49526755,TX,Texas
218,Crosby,1,0,33.4089784,-101.1483729,TX,Texas
219,Crowley,2,0,32.5767335,-97.35852314,TX,Texas
220,Cypress,5,2,29.9691116,-95.6971686,TX,Texas
221,Dale,1,0,29.9274436,-97.5644418,TX,Texas
222,Dallas,91,14,32.7801052,-96.8000082,TX,Texas
223,DeSoto,1,3,29.390781,-98.526798,TX,Texas
224,Deadwood,1,0,32.1398851,-94.1418587,TX,Texas
225,Del Valle,1,0,30.2107669,-97.6547243,TX,Texas
226,Denison,1,0,33.706201,-96.58444664,TX,Texas
227,Denton,3,3,33.2375905,-97.13066098,TX,Texas
228,Denton County,1,0,33.0265105,-96.8635139,TX,Texas
229,Donna,3,0,26.1702082,-98.0522376,TX,Texas
230,Dove Creek,1,0,30.5056054,-97.6717672,TX,Texas
231,Duncanville,1,1,32.647691,-96.91704357,TX,Texas
232,Eden,2,0,31.2161476,-99.8454772,TX,Texas
233,Edinburg,1,0,26.2527695,-98.19367825,TX,Texas
234,El Paso,11,2,31.81113155,-106.5013493,TX,Texas
235,Elgin,3,0,30.35517,-97.39176157,TX,Texas
236,Euless,2,0,32.84610745,-97.06673834,TX,Texas
237,Fairfield,7,2,31.7164755,-96.17288478,TX,Texas
238,Fannett,1,0,29.9260395,-94.2504458,TX,Texas
239,Flower Mound,2,0,33.036426,-97.11653707,TX,Texas
240,Forney,1,1,32.74630795,-96.4516127,TX,Texas
241,Fort Bend County,3,0,29.5253232,-95.74496432,TX,Texas
242,Fort Hood,3,0,31.13,-97.78,TX,Texas
243,Fort Worth,41,7,32.693397,-97.47067092,TX,Texas
244,Galveston,1,0,29.2332775,-94.86015998,TX,Texas
245,Garland,5,1,32.912624,-96.6388833,TX,Texas
246,Glen Rose,2,0,32.243494,-97.74953982,TX,Texas
247,Godley,1,0,32.449029,-97.5266886,TX,Texas
248,Gonzales County,1,0,29.447222,-97.50258531,TX,Texas
249,Granbury,3,0,32.433278,-97.759011,TX,Texas
250,Grand Prairie,7,3,32.65764395,-97.02856897,TX,Texas
251,Haltom City,1,0,32.8202545,-97.27055731,TX,Texas
252,Hardin County,1,0,30.3142215,-94.3879144,TX,Texas
253,Harlingen,1,0,26.1906306,-97.6961026,TX,Texas
254,Harper,1,0,30.2999195,-99.2442144,TX,Texas
255,Harris County,22,3,29.8152236,-94.9176032,TX,Texas
256,Hays County ,1,0,30.0548461,-98.02402564,TX,Texas
257,Hearne,1,0,30.87819,-96.59564691,TX,Texas
258,Hebbronville,1,0,27.3068397,-98.6780811,TX,Texas
259,Hereford,1,0,34.8150622,-102.3977036,TX,Texas
260,Hidalgo County,1,0,26.410046,-98.18764703,TX,Texas
261,Highland Village,1,0,33.09461,-97.05772077,TX,Texas
262,Highlands,2,0,29.818836,-95.0560404,TX,Texas
263,Hitchcock,1,1,29.261449,-95.01752857,TX,Texas
264,Honey Grove,1,1,33.5834377,-95.9099681,TX,Texas
265,Houston,204,32,29.9519265,-95.54091698,TX,Texas
266,Hubbard,1,0,31.8484935,-96.797215,TX,Texas
267,Hudson Bend,1,0,30.4171444,-97.9291787,TX,Texas
268,Ingleside,1,0,27.8666025,-97.20674791,TX,Texas
269,Irving,2,2,32.862876,-96.97913926,TX,Texas
270,Katy,2,2,29.7929303,-95.82966515,TX,Texas
271,Kaufman,1,0,32.565973,-96.30670159,TX,Texas
272,Keller,1,1,32.9357105,-97.22896927,TX,Texas
273,Kerrville,1,0,30.0474332,-99.1403189,TX,Texas
274,Killeen,9,3,31.1171194,-97.7277959,TX,Texas
275,Kountze,1,0,30.37432,-94.31679798,TX,Texas
276,Lancaster,11,4,32.598302,-96.77512111,TX,Texas
277,Laredo,3,0,27.506407,-99.5075421,TX,Texas
